,Times
0,2.2119999925962475e-05
1,2.4589999952695507e-05
2,4.033599998365389e-05
3,2.129299991793232e-05
4,5.057599992142059e-05
5,2.691399993182131e-05
6,2.937300007488375e-05
7,2.92949999902703e-05
8,3.465899999355315e-05
9,3.328699995108764e-05
10,4.045000002861343e-05
11,4.363300001841708e-05
12,4.145200000493787e-05
13,4.57500000266009e-05
14,5.007900006148702e-05
15,4.8413000058644684e-05
16,5.7659999924908334e-05
17,6.500400002096285e-05
18,6.887699998969765e-05
19,6.566000001839711e-05
20,7.02600000295206e-05
21,0.00010834299996531627
22,8.36210000443316e-05
23,8.49170000947197e-05
24,8.750699998927303e-05
25,9.239999997134873e-05
26,0.00010141400002794398
27,0.00011689900009059784
28,0.00010453899994899984
29,0.000190890999988369
30,0.00021555399996486813
31,0.00012594999998327694
32,0.00015326900006584765
33,0.0002446200001031684
34,0.00016424500006451126
35,0.0001733869999043236
36,0.0002240599999367987
37,0.0001802729999553776
38,0.0001965110000128334
39,0.00017994899997120228
40,0.0001983780000500701
41,0.00022020299991254433
42,0.00022105499999724998
43,0.0002241999999341715
44,0.00023190999991129502
45,0.0002287570000589767
46,0.00023402199997235584
47,0.00026242900003126124
48,0.0002733739999030149
49,0.0003437870000198018
50,0.0002673149999736779
51,0.0002696079999395806
52,0.00034940800003369077
53,0.0003501630000073419
54,0.0003287770000497403
55,0.000320876999921893
56,0.00038520600003266736
57,0.00038436299996646994
58,0.0003447850000384278
59,0.0003543929999523243
60,0.000399635999997372
61,0.0005364639999925203
62,0.00040148100003989384
63,0.00042557799997666734
64,0.0006219160000000556
65,0.0004831630000126097
66,0.0004416299999547846
67,0.000527035999994041
68,0.00047910899991165934
69,0.0006016190000082133
70,0.0006232349999208964
71,0.0005828199999768913
72,0.000536563000082424
73,0.00048167799991460925
74,0.0005108769998969365
75,0.0006104530000357045
76,0.0005249920000096608
77,0.0005446399999300411
78,0.0009204419999377933
79,0.0005485970000336238
80,0.0005821539999715242
81,0.0006475289999343659
82,0.0006247310000162543
83,0.000617593000015404
84,0.0006300860000010289
85,0.0006773699999484961
86,0.0006666780000159633
87,0.00071802300010404
88,0.0006763699999510209
89,0.0007161239999504687
90,0.0007012689999328359
91,0.0009419489999800135
92,0.0007887919999802762
93,0.0007194480000407566
94,0.0008988329999510825
95,0.0008198289999654662
96,0.0007983340000237149
